Site,block,Day,Time,Observer,Tree,Bromeliads,obs,Order,Suborder,Family,cleanspec,Species,Specimen,Diet,Behavior,behaviour,Behavior_Duration,Interaction_Type,interaction,Interaction_Target,Interaction_Duration,Interaction_Outcome
CP,A,06-02-17,Night,Pier,J4,present,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_c,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K1,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_c,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K1,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_d,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K1,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_E,Scale_E,Scale_E_e,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,J3,present,F,Gastropoda,,,Snail_A,Snail_A,Snail_A,herb,chewing_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,I6,absent,F,Hemiptera,Auchenorrhyncha,,Unidentified_homoptera,Unidentified_homoptera,Unid_leaf_hopper,herb,feeding/stationary,herb_feeding,60,nothing,,nothing,0,nothing
CP,A,06-02-17,Night,Pier,K1,absent,F,Hemiptera,Auchenorrhyncha,,Unidentified_homoptera,Unidentified_homoptera,Unid_white_hopper,herb,sucking_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,I3,present,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A,pred,exploring,mobile,120,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J3,present,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A,pred,exploring,mobile,150,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,K9,present,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,I4,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,180,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,I6,absent,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,I6,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J2,absent,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J3,present,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J3,present,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,K1,absent,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
