Subphylum;Order;Suborder;Family;Subfamily;Genus;Species;Morphospecies;Species_old_name;Diet;Site;Sampling;Day;Tree;Treatment;Bromeliad;Abundance
Hexapoda;Hemiptera;Heteroptera;Miridae;Mirinae;;;Hemiptera_BO;Hemiptera BO;unkn;ER;A;02.07.2017;E7;w;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;A;02.07.2017;E7;w;a;nest
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_D;Ootheca D;nada;ER;A;02.07.2017;E7;w;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;A;02.07.2017;E7;w;a;2
Hexapoda;Diptera;Brachycera;Micropezidae;;;;Fly_FC;Fly FC;unkn;ER;A;02.07.2017;E7;w;a;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;ER;A;02.07.2017;E7;w;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;FlyingAnt_L;Flying ant L;pred;ER;A;02.07.2017;E7;w;a;2
Hexapoda;Orthoptera;Ensifera;Gryllacrididae;;;;Katydid_C;Katydid nymph C;unkn;ER;A;02.07.2017;E7;w;a;1
Hexapoda;Thysanoptera;Tubulifera;Phlaeothripidae;Idolothripinae;;;Thrip_A;Thrip B;unkn;ER;A;02.07.2017;E7;w;b;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;A;02.07.2017;E7;w;b;nest
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Scolytinae;;;Beetle_U;Beetle Y;xylo;ER;A;02.07.2017;E7;w;b;1
Hexapoda;Coleoptera;Polyphaga;Elateridae;;;;Beetle_AB;Beetle AB;herb;ER;A;02.07.2017;E7;w;b;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;A;02.07.2017;E7;w;b;2
Hexapoda;Dermaptera;;;;;;Earwig_B;Earwig B;omni;ER;A;02.07.2017;E7;w;b;1
Hexapoda;Diptera;Brachycera;Empididae;;;;Fly_AN;Fly AN ;pred;ER;A;02.07.2017;E7;w;b;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;ER;A;02.07.2017;E7;w;b;2
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Dryophthorinae;;;Beetle_D;Beetle D;herb;ER;B;04.05.2017;E8;wr;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;ER;B;04.05.2017;E8;wr;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;ER;B;04.05.2017;E8;wr;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;ER;B;04.05.2017;E8;wr;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;B;04.05.2017;E8;wr;a;nest
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;Pseudophyllinae;;;Grasshopper_A;Grasshopper A;herb;ER;B;04.05.2017;E8;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;E8;wr;a;3
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;E8;wr;a;5
Hexapoda;Hemiptera;Heteroptera;Rhyparochromidae;;;;Hemiptera_AH;Hemiptera AH;gran;ER;B;04.05.2017;E8;wr;a;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Hemiptera_C;Hemiptera C;herb;ER;B;04.05.2017;E8;wr;a;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;ER;B;04.05.2017;E8;wr;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Camponotus;;Ant_X;Ant X;pred;ER;B;04.05.2017;E8;wr;b;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;ER;B;04.05.2017;E8;wr;b;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;FlyingAnt_K;Flying ant K;pred;ER;B;04.05.2017;E8;wr;b;2
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;E8;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;E8;wr;b;2
Hexapoda;Hymenoptera;Apocrita;Formicidae;;;;Ant_Z;Ant Z;pred;ER;B;04.05.2017;E8;wr;b;2
Chelicerata;Araneae;;;;;;Spider_C;Spider C;pred;ER;B;04.05.2017;E8;wr;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;B;04.05.2017;E8;wr;d;15
